"species","dim","repSeed","repVeg","repFlow","repPost","repDorm","surv.1","primitive","irreducible","ergodic","F0","C0","F0C0","survPlast","fecPlast","cloPlast","lambda","lambdaAway","R0","T","KeyfitzH1","KeyfitzH2","DemetriusH","lifespanFun","lifespanDoak","La","lifespanFunReprod","lifespanDoakReprod","rho","periodOscillation","react","firstStepAtt","maxAmp","maxAtt","inertiaUp","inertiaLow","inertiaTotal","KreissUp","KreissLow","KreissTotal","vSeed","vVeg","vFlow","vPost","vDorm","wSeed","wVeg","wFlow","wPost","wDorm","surv>1","prob1stReprod"
"Carum_carvi",5,NA,4,1,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.52,0.04,NA,0.981406396051891,0.0185936039481094,0.874827872732033,7.12508432009808,1.08624852849562,0.825106703620018,0.676416638577317,2.85428183106169,15,7.02603337708091,-4.17175154601922,7.97396662291909,1.59661937918917,5.65726623718249,4.57744452356562,0.403106310078585,4.57744452356562,0.328615530615505,1.90270706675564,0.415670153283151,1.48703691347249,2.13314615005325,0.415670595580146,1.71747555447311,0,0.67113243633588,0.32886756366412,0,0,0,0.927286037771813,0.0727139622281876,0,0,0,0.1947379697552
"Cassia_nemophila",12,1,1,10,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.145833333333333,0.138888888888889,NA,1.20688348349327,0.206883483493272,13.4706736763049,13.8294809234119,1.88197450397925,NA,6.97923842547241,2.56441765651079,36,2,0.564417656510785,34,1.27613589502289,38.154895372099,2161.26911642713,0.0886581028437751,2161.26911642713,0.0197616704261191,1015.46273603294,0.0651822638203716,1015.39755376912,1152.34244209751,0.0651832544916667,1152.27725884302,1.19117450202398e-05,0.00108025648184383,0.998907831773136,0,0,0.978243726152534,0.0155305625776628,0.00622571126980306,0,0,0,0.107
"Catopsis_sessiliflora",5,NA,4,1,NA,NA,NA,TRUE,TRUE,TRUE,0,0,0,0.52,0.04,0.04,0.955856034804546,0.0441439651954543,0.0202252497597742,86.4008636143837,0.842895837582256,0.840827597840625,0.025179986323813,1.89948171640065,10,8.81529098696544,-6.91580927056479,1.18470901303456,1.70896803261103,36.3284630612911,5.6797256096313,0.3996417724957,5.6797256096313,0.0244443348352039,4.43832363470702,0.0246080486392552,4.41371558606776,4.43832171760731,0.0246098298591883,4.41371188774812,0,0.541071735602723,0.458928264397277,0,0,0,0.919045006500345,0.0809549934996551,0,0,0,0.0019292275721941
"Cecropia_obtusifolia",8,1,4,3,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.265625,0.09375,NA,1.01238016212497,0.0123801621249677,1.29370894447263,20.9289668562255,0.00448070010470703,0.00412678556364837,5.05971074495895,1.00055451548701,2,4.38042542952083,-3.37987091403382,-2.38042542952083,1.30798449612403,22.8815688979422,560655.920339869,0.000158043397120863,560655.920339869,2.79564607154585e-05,313462.122971219,0.0427769249703752,313462.080194294,364676.100749281,NA,NA,4.98984197022472e-08,0.14199236861567,0.85800758148591,0,0,0.988056519258403,0.0119404455300158,3.03521158154846e-06,0,0,0,2.28535831041913e-05
"Centaurea_corymbosa",3,NA,2,1,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.666666666666667,0.111111111111111,NA,0.996110435379014,0.00388956462098644,0.981241377376479,4.85914164790901,0.917830396507965,0.58131739902813,0.906943568469519,2.19706956247104,11,4.75232016663504,-2.555250604164,6.24767983336496,1.73980857232682,4.832552598126,6.00435432415108,0.37044085363848,6.00435432415108,0.299393491224254,2.86924137681737,0.454059012180148,2.41518236463722,2.90013896056555,0.45405939635985,2.4460795642057,0,0.368642699612215,0.631357300387785,0,0,0,0.923704244362824,0.0762957556371764,0,0,0,0.155947368421053
"Centaurea_horrida",5,NA,2,3,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.56,0.12,NA,1.00661868748882,0.00661868748882255,1.27660071600518,37.0176279141476,1.71291052032486,1.21648470608433,1.63535309485459,12.8873930639889,106,4.4810536755097,8.40633938847921,101.51894632449,1.30920299656643,40.3674745799914,1.14237974149747,0.697843151265558,1.35920944164374,0.315777687039621,1.34996729868485,0.319932028499769,1.03003527018508,1.34996654247857,0.319933758623812,1.03003278385475,0,0.19544576336896,0.80455423663104,0,0,0,0.24564948592455,0.75435051407545,0,0,0,0.401523911725101
"Centaurea_jacea",6,NA,4,2,NA,NA,NA,TRUE,TRUE,TRUE,0,0,0,0.333333333333333,0.111111111111111,0.277777777777778,0.905204145587606,0.0947958544123939,0.0440042647288713,31.3617696837925,0.70642847743193,0.703070603641335,0.0811629923468975,3.74516724704398,12,5.20401005258805,-1.45884280554406,6.79598994741195,2.5187122624447,NA,1.33119142888788,0.793191241445228,1.39284671432218,0.765319959330903,1.37445845635804,0.776050826586716,0.598407629771324,1.37445808004802,0.776051474245969,0.598406605802051,0,0.589292283322033,0.410707716677967,0,0,0,0.720472317458407,0.279527682541593,0,0,0,0.22112695843654
"Centaurea_maculosa",5,1,2,2,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.56,0.16,NA,1.33230465737678,0.332304657376782,0.624106670833617,1.64314084023746,1.01267097253767,0.520423506620921,2.47803011471707,4.35394371645199,19,3.10626444189917,1.24767927455282,15.8937355581008,2.29118299540835,4.67275909367433,24.0710709989888,0.38279532926362,24.0710709989888,0.0417658248533617,17.6404770716062,0.0417682082825602,17.5987088633236,17.6404645358573,0.041769658836592,17.5986948770207,0.00119869995042581,0.241570494356472,0.757230805693103,0,0,0.840811672162025,0.119460648298262,0.0397276795397136,0,0,0,0.575864406779661
"Ceratozamia_mirandae",9,NA,2,5,2,NA,NA,FALSE,FALSE,FALSE,0,1,0,0.111111111111111,0.0617283950617284,NA,0.845387139583451,0.154612860416549,0.523806707285035,3.84990604732315,0.628548672997307,0.628316540456431,NA,3.16253361966264,10,3,0.16253361966264,7,1.37038417895931,4.63965544656653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0.37192746318261,0.590241924327263,0.0378306124901278,0,0,0.5667
"Ceratozamia_norstogii",7,1,1,5,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.26530612244898,0.102040816326531,NA,1.31765889190943,0.317658891909435,17.9414860923959,10.4660020456971,0.980973542596292,0.980973542596293,1.30479823683616,7.78539202392242,30,3.16919739696312,4.61619462695929,26.8308026030369,1.5300634013795,9.29529125459398,18.1849036553589,0.484951002056395,18.7624760392697,0.169198060608176,10.5585756378416,0.262544671763497,10.2960309660781,11.2620790901848,0.262545412816805,10.999533677368,0.00789039401042507,0.0294826764936667,0.962626929495908,0,0,0.65879883384777,0.209825011300648,0.131376154851582,0,0,0,0.47830802603037
